,YEAR,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PROFIT,ValueARG,VolumeARG
92.00,2021/2/0/0,,GTA,12.00,23.35,104000000000.00,124800000000.00,5844067712.00,152044291476.00,165547353988.00,11507674916.00,384100000000.00,52925527857.00,64446947208.00,395624700663.00,0.00,129307692.31,7900.00
93.00,2021/2/0/0,,GTN,15.20,21.00,2500000000000.00,3800000000000.00,46994557729.00,563721200170.00,790591924702.00,231730674015.00,2369695066000.00,228450244488.00,245611623554.00,274443780258.00,0.00,4436615384.62,245350.00
94.00,2021/2/0/0,,GVR,18.20,39.95,40000000000000.00,72800000000000.00,1159991338784.00,4058900485253.00,5687573760495.00,6575432726424.00,8789061667746.00,2756259290819.00,3174725018224.00,8842140233870.00,0.00,163178384615.38,4698909.09
95.00,2021/2/0/0,,HAG,25.30,5.51,9274679470000.00,23464939059100.00,87041258000.00,353965402000.00,534856482000.00,155524644000.00,0.00,4383184636000.00,316371621000.00,4802056202000.00,0.00,15363923076.92,2875463.64
96.00,2021/2/0/0,,HAH,5.36,69.10,487827510000.00,261475545360.00,97682399974.00,307987468765.00,449266808575.00,223444340820.00,61341741096.00,361538880846.00,68666229159.00,475507267418.00,0.00,73530000000.00,1680869.23
97.00,2021/2/0/0,,HAI,26.20,5.19,1826827990000.00,4786289333800.00,4409989942.00,101865404989.00,112796400013.00,11244784087.00,276453768950.00,1952813559467.00,343151683826.00,789183011936.00,0.00,8997692307.69,1958163.64
98.00,2021/2/0/0,,HAP,4.94,16.10,556266210000.00,274795507740.00,7569154271.00,103147313875.00,121803337276.00,11270872366.00,51050123200.00,299527659560.00,79275074722.00,85635182768.00,0.00,2592903615.38,207816.75
99.00,2021/2/0/0,,HAR,5.50,9.96,1013501000000.00,557425550000.00,60758453.00,3811650426.00,12010223286.00,16724141820.00,0.00,78315134082.00,0.00,56418623562.00,0.00,1240923076.92,246945.45
100.00,2021/2/0/0,,HAX,25.20,24.45,477669820000.00,1203727946400.00,5941312139.00,1206947423885.00,1250300879915.00,87899838985.00,0.00,144016257060.00,656579675839.00,667534898174.00,0.00,9073307692.31,423181.82
101.00,2021/2/0/0,,HBC,15.95,21.21,2308753980000.00,3682462598100.00,58429335722.00,2984420934503.00,3179484100956.00,376732925851.00,8625077046.00,11000736694018.00,2764759224573.00,11299343935981.00,0.00,40669230769.23,2788181.82
102.00,2021/2/0/0,,HCD,4.60,13.75,270000000000.00,124200000000.00,15782620077.00,162357835452.00,183033082465.00,19687859340.00,6000000000.00,206642486828.00,155983118581.00,139207377152.00,0.00,6760769230.77,1022309.09
103.00,2021/2/0/0,,HDC,40.35,106.90,831438740000.00,3354855315900.00,64717753246.00,233878028273.00,342837722625.00,55110203571.00,59544098284.00,566842183487.00,1371968611998.00,1275444432460.00,0.00,58023000000.00,1024236.36
104.00,2021/2/0/0,,HDG,41.20,67.10,1542750180000.00,6356130741600.00,100626817363.00,176143087009.00,477798959548.00,410332865051.00,488278000588.00,1392055244588.00,1198466952200.00,4219009242195.00,0.00,174802461538.46,3525845.46
105.00,2021/2/0/0,,HHP,12.25,14.40,200698240000.00,245855344000.00,9846868445.00,170570725965.00,188549607145.00,7151293000.00,7200000000.00,177554677491.00,58548460907.00,244851548733.00,0.00,3439307692.31,281072.73
106.00,2021/2/0/0,,HHS,6.80,9.18,2747440630000.00,1868259628400.00,53290516917.00,131878431446.00,150316200442.00,63099227659.00,312070000000.00,52885123200.00,162719871258.00,159535373487.00,0.00,8174153846.15,1244545.46
107.00,2021/2/0/0,,HII,21.80,20.95,320275000000.00,698199500000.00,33990078362.00,2026905966291.00,2179386173083.00,199438033422.00,9656000000.00,755023853208.00,175039022105.00,996606923069.00,0.00,9558615384.62,578563.64
108.00,2021/2/0/0,,HMC,23.40,31.45,210000000000.00,491400000000.00,56039562554.00,1074160583947.00,1158251555166.00,27018515692.00,9500000000.00,305545204799.00,637877169348.00,637473260097.00,0.00,3654846153.85,149609.09
109.00,2021/2/0/0,,HPG,59.40,55.70,44729227060000.00,265691608736400.00,9745151422187.00,23641296035968.00,35118355099565.00,14644183731657.00,17182805095788.00,7946101345417.00,39803824314074.00,66589935552973.00,0.00,1219017307692.30,25810081.82
110.00,2021/2/0/0,,HPX,34.20,39.10,2644945820000.00,9045714704400.00,72400535549.00,342962371465.00,494251576995.00,87159056777.00,264150468435.00,2908021180011.00,3832830782304.00,3366382697179.00,0.00,8485230769.23,265027.27
111.00,2021/2/0/0,,HQC,3.54,5.69,4766000000000.00,1687164000000.00,1024335820.00,79805956979.00,103044224586.00,29016843985.00,0.00,3031903822766.00,526625248196.00,2751029479612.00,0.00,20743384615.38,6117636.36
112.00,2021/2/0/0,,HSG,34.90,46.00,4446252130000.00,15517419933700.00,1034914232924.00,8955708918438.00,10845989020993.00,714861175002.00,8501781836.00,2988496402055.00,9001669052206.00,12084004707670.00,0.00,479710153846.15,13447366.67
113.00,2021/2/0/0,,HSL,7.18,9.19,171671440000.00,123260093920.00,1005490149.00,62245872841.00,64057285740.00,9374399488.00,0.00,96372822712.00,32184549041.00,18840083653.00,0.00,330846153.85,54163.64
114.00,2021/2/0/0,,HT1,16.35,24.00,3815899110000.00,6238995044850.00,240693365287.00,1820495906292.00,2259831048770.00,603173096136.00,13883294730.00,445319238212.00,722065645140.00,3653996365179.00,0.00,7413538461.54,427463.64
115.00,2021/2/0/0,,HTI,16.75,20.65,249492000000.00,417899100000.00,14559988018.00,57139200609.00,109031378495.00,17906234660.00,0.00,13821213895.00,14117898593.00,24557426288.00,0.00,965230769.23,63445.45
116.00,2021/2/0/0,,HTN,39.90,74.00,495092010000.00,1975417119900.00,82594010333.00,1550927600753.00,1695703528317.00,172300177530.00,98104260274.00,4276569886815.00,1285617386275.00,5097091495606.00,0.00,3151230769.23,85427.27
