Time,COMPANY,VOLUME,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS
2021/3/0/0,DSN,120830090000.0,12581272048,4535836045.0,420000000.0,44602467727,140081581460.0,1199058703,812906669.0,22198723495
2021/3/0/0,DTA,180598320000.0,-128613350,11423357140.0,13794008679.0,41971000629,49437136993.0,49910232125,920585996.0,295958517649
2021/3/0/0,DTL,614356040000.0,16056606458,318086667967.0,353890006198.0,4570940760,,264362963636,1047152709818.0,988851122250
2021/3/0/0,DTT,81518200000.0,480395837,39010509075.0,42801278115.0,13697944941,72000.0,19853236176,32395207926.0,21462533772
2021/3/0/0,DVP,400000000000.0,85532231003,80066916420.0,156635561640.0,30577154686,968000000000.0,91262574784,10735390613.0,132111667550
2021/3/0/0,DXV,99000000000.0,-1016032344,36572574266.0,38632858834.0,13277828205,15500000000.0,58508548118,28194116872.0,19959635440
2021/3/0/0,ELC,509282430000.0,13297211837,191259419715.0,210445908706.0,250113287081,28936781529.0,575377695103,157661936129.0,396278689229
2021/3/0/0,EMC,152973330000.0,752256275,140466359934.0,146079122862.0,1288892065,794178000.0,255255007298,275514609341.0,471834213310
2021/3/0/0,EVE,419797730000.0,6360597282,107362818359.0,155149266701.0,149464875484,246790897867.0,184846440847,385557403103.0,270830356196
2021/3/0/0,EVG,1050000000000.0,635169875,168735439266.0,173946951262.0,39381145897,,1106750910958,195335351368.0,320112508455
2021/3/0/0,FCM,410000000000.0,8827022590,144448397603.0,161626063644.0,42275750140,9597100000.0,466115502120,205139746611.0,313185760488
2021/3/0/0,FDC,386299880000.0,-312180302,27372294073.0,29362086713.0,13916454005,,375497019719,20924111606.0,181840411296
2021/3/0/0,FIR,270398640000.0,16487391013,36858787193.0,75245124143.0,95697850884,,314610303215,99625216193.0,257024503570
2021/3/0/0,FIT,2554427470000.0,30266059039,206353762497.0,277871218771.0,48803062208,1897439617478.0,747462675559,382714735141.0,923652067679
2021/3/0/0,FMC,588500000000.0,63629148642,1474602183587.0,1625322128960.0,500334254544,24768805000.0,686931462322,1008435660848.0,1159172709845
2021/3/0/0,FPT,9075516490000.0,1374615075418,5474243222947.0,8725171956972.0,5446784083688,16055301795066.0,6654818353847,1955072057943.0,25891181819535
2021/3/0/0,FRT,789817920000.0,47242301620,4298601407878.0,4993258547229.0,348801453330,1737642389041.0,2870057716985,2833512905176.0,7154892484056
2021/3/0/0,FTM,500000000000.0,-37482112874,78683956618.0,88436655548.0,22856514693,220000000.0,792560948482,63813500530.0,1123545038254
2021/3/0/0,GAB,138000000000.0,200881092,122768032800.0,125293958441.0,1731714552,,171971349803,12347875419.0,132737347325
2021/3/0/0,GAS,19139500000000.0,2463535760990,15135594633210.0,18542925212171.0,5994119472080,23594578773344.0,14762971629838,2376664348665.0,13841165658679
2021/3/0/0,GDT,179803580000.0,5700485739,23692203745.0,32553164601.0,3808743579,126000079062.0,17872982397,83927851298.0,93505080038
2021/3/0/0,GIL,432000000000.0,18351907324,534305006847.0,629259693484.0,719872413278,528368572727.0,434112598469,684901896946.0,1605731459615
2021/3/0/0,GMC,300052800000.0,-6841037882,187268507453.0,204083068369.0,319032764809,,92071323041,173415885837.0,133505020045
2021/3/0/0,GSP,360000000000.0,18989832208,297784343572.0,328453183728.0,73721950102,103000000000.0,132316017851,19190445990.0,352030054696
2021/3/0/0,GTA,104000000000.0,-1713887922,83925213455.0,86892143053.0,13372068708,338200000000.0,38154224260,63274934332.0,342484970021
2021/3/0/0,GTN,2500000000000.0,70871996389,572450479836.0,796062909532.0,352436546511,2286180940000.0,327292386802,206273277298.0,317600019613
2021/3/0/0,GVR,40000000000000.0,1533483373924,4061708499728.0,6151044219297.0,7325879254255,8879988352636.0,2567273942566,3610527286106.0,8797935424571
2021/3/0/0,HAG,9274679470000.0,21743125000,377623588000.0,554141153000.0,108787149000,,5482683651000,365539129000.0,5340138869000
2021/3/0/0,HAH,487827510000.0,100763593642,335769570168.0,475604864604.0,217137842865,54099281797.0,500490570532,57752820498.0,500448978662
2021/3/0/0,HAI,1826827990000.0,2582037025,127761371401.0,136937234068.0,5292105720,276453768950.0,2053954901558,344460901284.0,877056993455
2021/3/0/0,HAP,556266210000.0,11035052427,114902857798.0,142228792895.0,15503891007,50600148800.0,318092522214,85386939116.0,83015702716
2021/3/0/0,HAS,80000000000.0,347742642,22670020024.0,25100753184.0,9731296429,12329884690.0,153984330284,11472439649.0,70467749237
2021/3/0/0,HAX,477669820000.0,-33341063266,709676003384.0,708890240943.0,97582601893,,105922628409,756411263143.0,715157021874
2021/3/0/0,HBC,2308753980000.0,5234114754,1976263873100.0,2092074031689.0,360956015871,71628593102.0,10566567720724,2952975049521.0,10950279880443
2021/3/0/0,HCD,270000000000.0,17161659185,160341875857.0,176952152683.0,27807735758,36000000000.0,155206308624,178938306812.0,143677861390
2021/3/0/0,HDC,864696640000.0,66554025829,180526738064.0,281188955795.0,55039110748,59544371084.0,679878500566,1272501633894.0,1245389860080
2021/3/0/0,HDG,1636317180000.0,247940305498,219611097846.0,633178174857.0,494839516566,321192436636.0,1522234241488,1170321962620.0,4337712954266
2021/3/0/0,HHP,200698240000.0,7838211940,174449317319.0,189353734625.0,10061308680,13530000000.0,174530114395,74625119473.0,257046537923
2021/3/0/0,HII,368315080000.0,15616825923,1940750643845.0,2046573398840.0,87503980645,9656000000.0,1078718126866,333133659447.0,1363274381267
2021/3/0/0,HMC,210000000000.0,11354270771,518512444498.0,547266119269.0,10233308733,5000000000.0,233625822143,791047257928.0,694354374795
2021/3/0/0,HNG,11085538950.0,-181341132,393981603.0,379912695.0,41853241,,3720903853,1830285373.0,5912625583
2021/3/0/0,HOT,80000000000.0,-4466359562,10596957200.0,8264626629.0,11609307438,,5624793340,1729316320.0,19043862411
2021/3/0/0,HPG,44729227060000.0,10350844197184,26812929844272.0,38673828690685.0,13376486099355,21440678216078.0,10856205170508,46006414493653.0,71995624227147
2021/3/0/0,HPX,3041685810000.0,35855753339,189956980492.0,259933553397.0,205532547182,265101655731.0,2778211428349,4495036110694.0,2752266457228
2021/3/0/0,HQC,4766000000000.0,1005570679,20706463907.0,29423967825.0,33235377012,,3053327219182,524151154124.0,2772738170310
2021/3/0/0,HRC,302066220000.0,574022932,44301211245.0,46791549985.0,10653688994,,11219106902,25332282995.0,116420733666
2021/3/0/0,HSG,4446252130000.0,1701824286868,10030159798762.0,12983894346047.0,505654076442,23517531836.0,3765465221700,11646465270749.0,13666262674731
2021/3/0/0,HT1,3815899110000.0,-19655429645,992829301942.0,1038933310916.0,452242996511,14472451717.0,482991055315,1015763942228.0,3736641192138
2021/3/0/0,HTI,249492000000.0,-13147209706,7748932608.0,18831882053.0,14937745441,,12329603556,10110535374.0,55816011060
2021/3/0/0,HTN,495092010000.0,22381317411,600360467374.0,652872516348.0,275593922376,98181939073.0,3989130266629,1341626648876.0,4930712452271
2021/3/0/0,HTV,131040000000.0,3063712642,73850271601.0,77608025642.0,27158586266,178849729765.0,150542135880,2147361447.0,107836503723
2021/3/0/0,HU1,100000000000.0,1018521169,422355847873.0,418322684086.0,21269246898,5330000000.0,458282950424,93109715089.0,470020376251
2021/3/0/0,HU3,99999440000.0,-652385907,24529886851.0,26375164453.0,5821780592,,153291485162,96796171050.0,146499236197
2021/3/0/0,HUB,190573160000.0,16759985850,84527113204.0,115596358236.0,91261925908,98125000000.0,80299489579,155452711821.0,238239802986
2021/3/0/0,HVX,415252500000.0,-1218113502,144456192785.0,151054231960.0,6330020509,,35417826717,101759341753.0,304015533309
2021/3/0/0,ICT,321850000000.0,10547536647,487585446802.0,529208835745.0,142115447837,20000000000.0,1226111294341,374190186342.0,1258286066895
2021/3/0/0,IJC,2170973230000.0,82686154695,210226090044.0,363322426724.0,203653015913,5905000000.0,801482015872,3668820969173.0,1795392413510
2021/3/0/0,IMP,667053700000.0,31318990824,167035753883.0,256218759277.0,62625580395,185137529260.0,331248994817,471327935382.0,330067670442
2021/3/0/0,ITA,9384636070000.0,100127033291,213965518062.0,343323635340.0,21837429400,1500000000.0,2302781226525,3853286302282.0,1854249514716
2021/3/0/0,KBC,4697601890000.0,-59285766615,165949582459.0,324859229797.0,3696028013910,1956414450598.0,9694752519220,11514776988408.0,6994361968243
2021/3/0/0,KDC,2797413560000.0,125231692844,2065100294569.0,2556454948384.0,2022398377964,530400716030.0,2575297445100,1553459968366.0,3934857160175
2021/3/0/0,KHP,575710160000.0,223200907691,868808135814.0,1143366695576.0,133908005544,424732000000.0,107745532898,119279215054.0,932810006733
2021/3/0/0,KMR,568814430000.0,1171558519,105346307078.0,118879588099.0,15798037873,,198052961693,585874128036.0,486375651417
2021/3/0/0,KOS,1650313350000.0,2718254082,174768300006.0,184924300443.0,26801420036,24440190163.0,1119765057943,1240660888874.0,644471184645
2021/3/0/0,KPF,579689330000.0,6833247525,3819642919.0,7220933214.0,24814483154,,1233447565119,376004649949.0,893617217516
2021/3/0/0,KSB,736312020000.0,48245525356,50975688335.0,80363953338.0,84111150465,,1926581130839,44244794313.0,1004067858072
2021/3/0/0,L10,98900000000.0,4146966731,247635530669.0,253301100008.0,379571684354,,434976476449,272826633652.0,764770808338
2021/3/0/0,LAF,147280190000.0,14134230232,92202129064.0,115843134015.0,4458706271,13000192168.0,45583644167,168915336301.0,127599154676
2021/3/0/0,LBM,100000000000.0,24792426755,155317311474.0,205102893898.0,47077825117,,90466814379,61788639362.0,89919871502
2021/3/0/0,LCM,246330000000.0,736544905,1939825600.0,2178853800.0,2044825088,,16694691340,17976048436.0,22083231000
2021/3/0/0,LDG,2402124510000.0,30716624813,56170654883.0,124180970229.0,50289591017,,3390429738003,1059899751473.0,2761604559552
2021/3/0/0,LGL,515000000000.0,265253685,10124719884.0,11867724689.0,6988237273,5320810800.0,605385948054,388638444682.0,767780115485
2021/3/0/0,LHG,500120100000.0,19896299139,26352484080.0,52041068999.0,119681647014,959480144273.0,315748972544,603382412037.0,835200795143
